date,sepatu olahraga,sepatu kasual,sepatu formal,sepatu bot,sandal
2019-10-27,3,0,1,0,39
2019-11-03,3,0,0,0,41
2019-11-10,3,0,0,0,36
2019-11-17,2,0,0,0,39
2019-11-24,2,0,1,0,38
2019-12-01,2,0,0,0,39
2019-12-08,3,0,1,0,42
2019-12-15,2,0,1,0,42
2019-12-22,2,0,0,0,45
2019-12-29,2,0,1,1,46
2020-01-05,2,0,1,0,43
2020-01-12,2,0,1,0,41
2020-01-19,2,0,1,0,42
2020-01-26,2,0,0,0,36
2020-02-02,3,0,1,0,45
2020-02-09,3,0,0,0,40
2020-02-16,2,0,0,0,42
2020-02-23,2,0,0,0,45
2020-03-01,2,0,0,0,44
2020-03-08,2,0,0,0,44
2020-03-15,2,0,0,0,32
2020-03-22,1,0,0,0,27
2020-03-29,2,0,0,0,24
2020-04-05,2,0,0,0,27
2020-04-12,2,0,0,0,29
2020-04-19,1,0,0,0,32
2020-04-26,1,0,0,0,48
2020-05-03,2,0,0,0,55
2020-05-10,2,0,0,0,70
2020-05-17,1,0,0,0,86
2020-05-24,1,0,0,0,34
2020-05-31,2,0,0,0,38
2020-06-07,3,0,0,0,33
2020-06-14,2,0,0,0,36
2020-06-21,2,0,0,0,36
2020-06-28,3,0,0,0,39
2020-07-05,3,0,0,0,46
2020-07-12,2,0,0,0,35
2020-07-19,2,0,0,0,35
2020-07-26,2,0,0,0,37
2020-08-02,2,0,0,0,38
2020-08-09,2,0,0,0,37
2020-08-16,2,0,0,0,40
2020-08-23,2,0,0,0,38
2020-08-30,3,0,0,0,41
2020-09-06,2,0,0,0,38
2020-09-13,2,0,0,0,38
2020-09-20,3,0,0,0,39
2020-09-27,2,0,0,0,38
2020-10-04,2,0,0,0,41
2020-10-11,2,0,0,0,40
2020-10-18,2,0,0,0,39
2020-10-25,2,0,0,0,45
2020-11-01,2,0,0,0,42
2020-11-08,2,0,0,0,45
2020-11-15,2,0,0,0,44
2020-11-22,2,0,0,0,43
2020-11-29,3,0,0,0,46
2020-12-06,3,0,1,0,51
2020-12-13,2,0,0,0,49
2020-12-20,2,0,0,0,48
2020-12-27,2,0,0,0,51
2021-01-03,2,0,0,0,46
2021-01-10,2,0,0,0,38
2021-01-17,2,0,0,0,40
2021-01-24,2,0,0,0,39
2021-01-31,2,0,0,0,41
2021-02-07,2,0,0,0,41
2021-02-14,2,0,0,0,39
2021-02-21,2,0,0,0,41
2021-02-28,2,0,0,0,43
2021-03-07,2,0,0,0,45
2021-03-14,2,0,0,0,43
2021-03-21,2,0,0,0,44
2021-03-28,2,0,0,0,46
2021-04-04,2,0,0,0,50
2021-04-11,1,0,0,0,59
2021-04-18,1,0,0,0,70
2021-04-25,1,0,0,0,83
2021-05-02,1,0,0,0,95
2021-05-09,1,0,0,0,79
2021-05-16,2,0,0,0,41
2021-05-23,2,0,0,0,40
2021-05-30,2,0,0,0,39
2021-06-06,3,0,0,0,38
2021-06-13,2,0,0,0,33
2021-06-20,2,0,0,0,29
2021-06-27,1,0,0,0,29
2021-07-04,2,0,0,0,28
2021-07-11,1,0,0,0,30
2021-07-18,1,0,0,0,26
2021-07-25,1,0,0,0,25
2021-08-01,2,0,0,0,26
2021-08-08,2,0,0,0,28
2021-08-15,2,0,0,0,29
2021-08-22,2,0,0,0,28
2021-08-29,2,0,0,0,29
2021-09-05,2,0,1,0,34
2021-09-12,2,0,0,0,31
2021-09-19,2,0,0,0,32
2021-09-26,2,0,0,0,33
2021-10-03,2,0,0,0,36
2021-10-10,2,0,0,0,35
2021-10-17,2,0,0,0,35
2021-10-24,2,0,0,0,34
2021-10-31,2,0,0,0,36
2021-11-07,2,0,0,0,39
2021-11-14,2,0,0,0,41
2021-11-21,2,0,0,0,36
2021-11-28,2,0,0,0,37
2021-12-05,3,0,0,0,38
2021-12-12,2,0,0,0,42
2021-12-19,2,0,0,0,45
2021-12-26,1,0,0,0,42
2022-01-02,2,0,0,0,41
2022-01-09,2,0,0,0,37
2022-01-16,2,0,0,0,33
2022-01-23,2,0,0,0,38
2022-01-30,2,0,1,0,40
2022-02-06,2,0,0,0,38
2022-02-13,2,0,0,0,34
2022-02-20,2,0,0,0,35
2022-02-27,2,0,0,0,40
2022-03-06,2,0,0,0,41
2022-03-13,2,0,0,0,46
2022-03-20,2,0,0,0,44
2022-03-27,1,0,0,0,46
2022-04-03,1,0,0,0,59
2022-04-10,1,0,0,0,70
2022-04-17,1,0,0,0,87
2022-04-24,1,0,0,0,100
2022-05-01,1,0,0,0,54
2022-05-08,2,0,0,0,39
2022-05-15,2,0,0,0,39
2022-05-22,2,0,0,0,44
2022-05-29,2,0,0,0,37
2022-06-05,2,0,0,0,42
2022-06-12,2,0,0,0,82
2022-06-19,2,0,0,0,46
2022-06-26,2,0,0,0,41
2022-07-03,2,0,0,0,42
2022-07-10,2,0,0,0,36
2022-07-17,2,0,1,0,32
2022-07-24,3,0,0,0,34
2022-07-31,2,0,0,0,36
2022-08-07,3,0,0,0,32
2022-08-14,3,0,0,0,35
2022-08-21,2,0,0,0,32
2022-08-28,2,0,0,0,33
2022-09-04,2,0,0,0,36
2022-09-11,2,0,0,0,34
2022-09-18,2,0,0,0,33
2022-09-25,2,0,0,0,33
2022-10-02,2,0,0,0,35
2022-10-09,2,0,0,0,38
2022-10-16,2,0,0,0,36
2022-10-23,2,0,0,0,37
2022-10-30,2,0,0,0,35
2022-11-06,2,0,0,0,39
2022-11-13,2,0,0,0,38
2022-11-20,2,0,0,0,33
2022-11-27,2,0,0,0,34
2022-12-04,2,0,0,0,36
2022-12-11,2,0,0,0,39
2022-12-18,2,0,0,0,42
2022-12-25,2,0,0,0,43
2023-01-01,2,0,0,0,41
2023-01-08,2,0,0,0,38
2023-01-15,2,0,0,0,38
2023-01-22,2,0,0,0,39
2023-01-29,2,0,0,0,38
2023-02-05,2,0,0,0,35
2023-02-12,2,0,0,0,37
2023-02-19,2,0,0,0,37
2023-02-26,2,0,0,0,39
2023-03-05,2,0,0,0,41
2023-03-12,2,0,0,0,41
2023-03-19,1,0,0,0,47
2023-03-26,1,0,0,0,57
2023-04-02,1,0,0,0,70
2023-04-09,1,0,0,0,82
2023-04-16,1,0,0,0,83
2023-04-23,1,0,0,0,41
2023-04-30,2,0,0,0,38
2023-05-07,2,0,0,0,35
2023-05-14,2,0,0,0,31
2023-05-21,2,0,0,0,32
2023-05-28,2,0,0,0,33
2023-06-04,2,0,0,0,32
2023-06-11,2,0,0,0,32
2023-06-18,2,0,0,0,31
2023-06-25,2,0,0,0,34
2023-07-02,2,0,0,0,35
2023-07-09,2,0,0,0,30
2023-07-16,2,0,0,0,25
2023-07-23,2,0,0,0,24
2023-07-30,2,0,0,0,26
2023-08-06,3,0,0,0,27
2023-08-13,3,0,0,0,27
2023-08-20,2,0,0,0,25
2023-08-27,2,0,0,0,26
2023-09-03,2,0,0,0,25
2023-09-10,2,0,0,0,28
2023-09-17,2,0,0,0,25
2023-09-24,2,0,0,0,26
2023-10-01,2,0,0,0,28
2023-10-08,2,0,0,0,28
2023-10-15,2,0,0,0,26
2023-10-22,2,0,0,0,26
2023-10-29,2,0,0,0,28
2023-11-05,2,0,1,0,30
2023-11-12,2,0,0,0,27
2023-11-19,2,0,0,0,26
2023-11-26,2,0,0,0,26
2023-12-03,2,0,0,0,29
2023-12-10,2,0,0,0,33
2023-12-17,1,0,0,0,30
2023-12-24,1,0,0,0,33
2023-12-31,1,0,0,0,28
2024-01-07,1,0,0,0,27
2024-01-14,1,0,0,0,26
2024-01-21,1,0,0,0,24
2024-01-28,1,0,0,0,26
2024-02-04,1,0,0,0,24
2024-02-11,1,0,0,0,24
2024-02-18,1,0,0,0,29
2024-02-25,1,0,0,0,25
2024-03-03,1,0,0,0,26
2024-03-10,1,0,0,0,31
2024-03-17,1,0,0,0,37
2024-03-24,1,0,0,0,47
2024-03-31,1,0,0,0,55
2024-04-07,1,0,0,0,46
2024-04-14,1,0,0,0,27
2024-04-21,1,0,0,0,23
2024-04-28,1,0,0,0,23
2024-05-05,1,0,0,0,23
2024-05-12,1,0,0,0,21
2024-05-19,1,0,0,0,22
2024-05-26,2,0,0,0,20
2024-06-02,2,0,0,0,20
2024-06-09,2,0,0,0,20
2024-06-16,2,0,0,0,22
2024-06-23,2,0,0,0,21
2024-06-30,2,0,0,0,25
2024-07-07,2,0,0,0,23
2024-07-14,2,0,0,0,19
2024-07-21,2,0,0,0,21
2024-07-28,2,0,0,0,25
2024-08-04,2,0,0,0,23
2024-08-11,2,0,0,0,18
2024-08-18,2,0,0,0,21
2024-08-25,2,0,0,0,20
2024-09-01,2,0,0,0,19
2024-09-08,2,0,0,0,21
2024-09-15,2,0,0,0,25
2024-09-22,2,0,0,0,21
2024-09-29,2,0,0,0,23
2024-10-06,2,0,0,0,23
2024-10-13,2,0,1,0,23
2024-10-20,2,0,1,0,23
2024-10-27,2,0,0,0,23
